transectlengthkm,mxobserved,densitykm2,area_surveyedkm2,Longitude,Latitude,gridsizekm2
4.140766721,0,0,1.656306688,-6.635327143,51.81485938,16000000
0,0,,0,-7.921887094,51.40208349,16000000
4.785411729,0,0,1.914164691,-7.91678187,51.61784617,16000000
0,0,,0,-5.782983478,52.3702504,16000000
4.142601701,0,0,1.65704068,-8.265720574,51.47667795,16000000
4.137698108,1,0.604200678,1.655079243,-6.191446749,52.41664376,16000000
4.73496768,0,0,1.893987072,-6.287535755,51.80734718,16000000
4.140787387,3,1.811249721,1.656314955,-6.693306658,51.81601147,16000000
0,0,,0,-7.573605853,51.50627079,16000000
4.139568175,0,0,1.65582727,-6.796981477,52.06979398,16000000
0,0,,0,-7.339235596,51.61109593,16000000
0,0,,0,-7.521801555,51.32577888,16000000
4.137376786,0,0,1.654950714,-6.245710435,52.48986463,12228773.47
4.140270886,20,12.0765045,1.656108354,-7.559961781,51.93772216,16000000
4.555170624,4,2.195307448,1.82206825,-6.691468921,51.85194713,16000000
1.436633691,0,0,0.574653477,-7.97777658,51.47452144,16000000
0,0,,0,,,374842.6923
0,0,,0,-6.646548113,51.59924863,16000000
0,0,,0,-7.230736666,51.42965732,16000000
0,0,,0,-7.84990501,51.97687784,4192761.01
0,0,,0,-8.317935824,51.83665856,5721163.937
0,0,,0,-7.293601498,51.28670437,16000000
0,0,,0,,,210646.8108
4.138403644,12,7.249172043,1.655361458,-5.968819956,52.23126855,16000000
2.560097055,0,0,1.024038822,-7.143943279,52.14770595,11179175.64
0,0,,0,-6.704253099,51.6003919,16000000
0,0,,0,-7.517157681,51.46960098,16000000
4.786394058,0,0,1.914557623,-6.62586858,51.99452759,16000000
4.788198777,3,1.566351012,1.915279511,-7.856303786,51.72517508,16000000
0,0,,0,,,905976.4437
0,0,,0,-7.399507611,51.539994,16000000
4.57052553,0,0,1.828210212,-8.554045143,51.4421614,16000000
0,0,,0,-8.268593034,51.29685463,16000000
4.138332626,6,3.624648223,1.655333051,-5.851857604,52.22820416,16000000
4.138248683,1,0.604120291,1.655299473,-5.966369186,52.26718045,16000000
4.142161391,0,0,1.656864556,-7.80220181,51.58076494,16000000
4.140658973,2,1.207537262,1.656263589,-6.865568368,51.8552362,16000000
0,0,,0,-7.58030148,51.29053218,16000000
4.139026505,0,0,1.655610602,-6.733204036,52.17649408,15999422.07
0,0,,0,-7.463211936,51.36099539,16000000
0,0,,0,-7.16746799,51.5725692,16000000
4.140874626,1,0.603737187,1.65634985,-7.099265032,51.82327599,16000000
0,0,,0,,,2019765.428
4.143164926,0,0,1.65726597,-8.382363371,51.36944674,16000000
2.084353647,0,0,0.833741459,-7.393167632,51.71975405,16000000
4.138784626,3,1.812126186,1.65551385,-5.801127943,52.1189089,16000000
0,0,,0,-8.096497963,51.29565325,16000000
4.58346756,0,0,1.833387024,-6.139678181,52.30748281,16000000
4.369332065,0,0,1.747732826,-6.689627347,51.88788252,16000000
0,0,,0,-6.430633636,52.35014551,8889677.032
0,0,,0,-7.455945894,51.57671994,16000000
0,0,,0,-8.095083115,51.36758019,16000000
0,0,,0,,,601849.8327
0,0,,0,-6.706064273,51.56445437,16000000
0,0,,0,-6.657630205,51.38362819,16000000
4.141708549,0,0,1.65668342,-8.378951511,51.6212006,16000000
4.141533756,1,0.603641102,1.656613502,-7.91506595,51.68976521,16000000
2.069828596,3,3.623488444,0.827931439,,,11076981.33
4.141853244,6,3.621567235,1.656741298,-8.494905225,51.58579009,16000000
4.138893077,3,1.812078703,1.655557231,-6.265730221,52.16657976,16000000
4.138494813,8,4.832674898,1.655397925,-6.144301789,52.23564802,16000000
0,0,,0,-7.045924258,51.71449113,16000000
4.140648818,1,0.603770112,1.656259527,-7.620334997,51.86651144,16000000
0,0,,0,-5.708274097,52.5840485,16000000
4.14134559,2,1.207337058,1.656538236,-8.320100261,51.69280761,16000000
0,0,,0,-7.232124139,51.39370701,16000000
0,0,,0,-6.829942757,51.38694737,16000000
4.140780534,2,1.207501813,1.656312214,-7.795535087,51.83246903,16000000
4.789526073,59,30.79636643,1.915810429,-8.378460044,51.65716454,16000000
4.139684991,0,0,1.655873997,-6.565711479,52.02927064,16000000
4.13935044,0,0,1.655740176,-6.345490306,51.80867058,16000000
0.121477732,0,0,0.048591093,,,282222.9973
0,0,,0,-7.003851301,51.35406745,16000000
4.138466046,9,5.436797052,1.655386419,-6.085802869,52.23421715,16000000
0,0,,0,,,5425616
0,0,,0,-7.80877234,51.32904938,16000000
0,0,,0,-5.788194861,52.2984401,16000000
0,0,,0,-7.227953087,51.50155718,16000000
0,0,,0,-8.038384189,51.3311596,16000000
0,0,,0,-7.465613971,51.28908526,16000000
0,0,,0,-5.892740219,52.48111407,16000000
0,0,,0,-6.120565126,51.69544636,13692271.8
0,0,,0,-7.570226697,51.61413686,16000000
0,0,,0,-5.890205265,52.51702188,16000000
0,0,,0,-7.9098751,51.90551677,3694646.805
0,0,,0,-6.644687658,51.63518443,16000000
4.142651583,0,0,1.657060633,-8.150538729,51.47590018,16000000
4.503034314,1,0.555181201,1.801213726,-7.442387214,51.97219232,16000000
0,0,,0,-5.740178203,52.15321535,16000000
4.143289982,0,0,1.657315993,-8.555092764,51.33426186,16000000
0,0,,0,-5.710963691,52.54814747,16000000
1.230384222,0,0,0.492153689,,,7071090.638
4.142361972,0,0,1.656944789,-8.668889803,51.47850927,16000000
0,0,,0,-6.930201245,51.71250894,16000000
0,0,,0,-5.78559191,52.33434541,16000000
0,0,,0,,,367976.9995
0,0,,0,-6.826534098,51.45883042,16000000
0,0,,0,-5.826165357,52.58726987,16000000
0,0,,0,,,5450904.4
0,0,,0,-6.535040601,51.52501073,16000000
0,0,,0,-8.097203198,51.25968944,16000000
4.141029148,0,0,1.656411659,-7.622530836,51.79460253,16000000
4.13787742,13,7.854268433,1.655150968,-5.902826767,52.33747976,16000000
0,0,,0,-6.698796954,51.70820288,16000000
4.141598424,1,0.603631676,1.65663937,-7.683655026,51.68739991,16000000
4.138935739,27,16.30854023,1.655574295,-6.034489656,52.12501408,16000000
4.140696143,0,0,1.656278457,-7.213860477,51.86104159,16000000
4.747927877,5,2.632727439,1.899171151,-7.094711021,51.93111019,16000000
4.787391611,5,2.611025171,1.914956644,-6.401381188,51.84589333,16000000
4.141585503,0,0,1.656634201,-7.741504741,51.68803396,16000000
4.791470046,20,10.43521081,1.916588018,-7.500596998,51.97294799,16000000
0,0,,0,-7.9825698,51.25874925,16000000
4.139510603,0,0,1.655804241,-6.390975868,52.02552864,16000000
0,0,,0,,,3612339.653
4.137725093,3,1.812590211,1.655090037,-5.900313091,52.37338879,16000000
0,0,,0,-6.716852859,51.34882359,15749081.6
0,0,,0,-6.415767686,51.59439216,16000000
4.139729427,41,24.76007232,1.655891771,-7.439888383,52.04409324,16000000
0,0,,0,-6.17613043,51.73277185,16000000
0,0,,0,-7.080876229,52.25459916,1395237.93
0,0,,0,-6.767248101,51.49368915,16000000
0,0,,0,-7.290930485,51.35860839,16000000
4.141166069,7,4.225862887,1.656466428,-7.855395384,51.76113331,16000000
4.139555465,0,0,1.655822186,-5.985832227,51.97987682,16000000
4.139015906,0,0,1.655606362,-5.920275418,52.08610799,16000000
0,0,,0,-7.571355421,51.57818174,16000000
4.141832685,1,0.603597535,1.656733074,-8.147855493,51.61975077,16000000
3.08398596,0,0,1.233594384,-6.868963649,51.78335618,16000000
0,0,,0,-6.872344813,51.71147512,16000000
4.140800562,4,2.414991944,1.656320225,-7.737499282,51.83186035,16000000
4.142401595,0,0,1.656960638,-8.611291828,51.47833251,16000000
0.727287709,0,0,0.290915084,,,1975833.3
4.141255307,1,0.603681689,1.656502123,-7.391891707,51.75570533,16000000
0,0,,0,-6.908572704,52.17973457,9117756.777
0,0,,0,-7.924416016,51.29419902,16000000
4.784058232,3,1.56770667,1.913623293,-7.042818489,51.78637993,16000000
4.137180314,1,0.604276297,1.654872126,-6.125689998,52.52298016,16000000
